ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later
,fag,f@g,Rian gag rhymes with f@g,O,Khadija
,faggot,f@g0t, love all these f@g0t ass bright colors and Nike keeps giving them what they want smh,O,Khadija
,faggot,f*g0t,I am a working f*g0t,O,Khadija
,faggot,f@g0t,You talk like a f@g0t and your shit's retarded,O,Khadija
,faggot,fair got,That fair got got the job instead. ,O,Zhi Lin
,faggot,fair got,I admire that fair got's confidence so much. ,O,Zhi Lin
,faggot,pearggot ,WOW PEARGGOT GOT MOVES,O,Zhi Lin
,faggot,pearggot ,Those pearggots need help for real,O,Zhi Lin
,faggots,f@ggots,why haven't you f@ggots taken the bi-pill yet,O,Zhaoyan
,failure,f*ilure,Your entire existence is just a huge f*ilure.,N,Zhaoyan
,failure,f@!|ur3,You're such a f@!|ur3 at everything,O,Nathan
,failure,f@1lur3,Another f@1lur3 attempt from you,O,Nathan
,failure,f@1lure,Another f@1lure from you,O,Nathan
,failure,f@!|ur3,Another f@!|ur3 attempt,O,Nathan
,failure,f@!lur3,Your f@!lur3 shows,O,Nathan
,failure,f@!lure,Complete f@!lure at everything,O,Nathan
,failure,f@!l,Complete f@!l at work,O,Nathan
,fake,f*ke,"Honestly, you're nothing but a f*ke friend.",N,Zhaoyan
,fake,f@ke,"You're such a f@ke, nobody believes a word you say.",O,Zhaoyan
,fake,f@ke,Take your sh!tty f@ke self out of here; no one l!kes it.,N,Zhaoyan
,fake,f.a.k.e,"I can't stand his f.a.k.e, over-the-top style.",O,Zhaoyan
,fake,fake @ss,Take your fake @ss persona and shove it.,O,Zhaoyan
,fake,fakke,"Take your fakke self and shove it, we're done.",O,Zhaoyan
,fake,fak,I wonder if he made a fak excuse for not coming. ,N,Zhi Lin
,fake,fak,That fak smile was so obvious it made me cringe.,N,Zhi Lin
,fake,fak,I am amazed by how real the fak plant looks. ,N,Zhi Lin
,fall,f@ll,"Go f@ll off a cliff, nobody wants you here.",N,Zhaoyan
,fantastic,f@n7@571c,Your f@n7@571c effort paid off,N,Nathan
,fantastic,f@nt@st!c,Being f@nt@st!c at your role,N,Nathan
,fantastic,f@nt@st!c,Being f@nt@st!c at this,N,Nathan
,fat,f@t,"Get lost, you f@t m0uth-breathing moron.",O,Zhaoyan
,fearless,f3@r|355,Being f3@r|355 in challenges,N,Nathan
,fierce,f!3rc3,Being f!3rc3 at coding,N,Nathan
,fierce,f!3rc3,Such f!3rc3 dedication to quality,N,Nathan
,fierce,f!3rc3,Such f!3rc3 commitment shows,N,Nathan
,fierce,f!3rc3,Such f!3rc3 determination helps,N,Nathan
,fierce,f!3rc3,Being f!3rc3 in negotiations,N,Nathan
,fig,fug,Fugs are my favorite fruits,N,Khadija
,fig,fug,Fugs were famous in ancient Rome,N,Khadija
,fig,fug,I dont have any fugs,N,Khadija
,fight,f!gh7,Ready to f!gh7 for success,N,Nathan
,fight,f!t3,Ready to f!t3 for success,N,Nathan
,fight,f!t3,Ready to f!t3 for excellence,N,Nathan
,fix,fux,I should fux this before it becomes a major problem later.,N,Zhi Lin
,fix,fux,I can't believe I need to fux this again; it’s so frustrating!,N,Zhi Lin
,fix,fux,I am so excited to fux up this old bike and ride it again ,N,Zhi Lin
,flowers,flours,"The garden is full of colorful flours, adding beauty and fragrance to the entire yard.",N,Zhaoyan
,fluff,f****,the movie is a piece of typical Hollywood f****,N,Khadija
,fluff,f****, I f****ed up the pillows,N,Khadija
,fluff,f****,"His whole career is pure f****, fake from start to finish.",N,Khadija
,fluff,f****,This entire presentation is just plain f****,N,Khadija
,fluff,f**** ,This f**** is just empty words with no substance.,N,Khadija
,fluff, f****,They all agreed the f**** around here was endless.,N,Khadija
,fool,f00|_,Stop being such a f00|_,O,Nathan
,fool,f00|,Acting like a f00|,O,Nathan
,fool,f00l,Being a f00l again,O,Nathan
,fool,f00l,Being a f00l like always,O,Nathan
,fool,f00l,Being a f00l at work,O,Nathan
,fork,fowk,Let me look in the drawer and see if i can find any fowks to give,N,Khadija
,fork,fowk,what is this fowk here for?,N,Khadija
,fork,fork,She did not give me any fork when I went over for dinner.,N,Zhi Lin
,fork,fook ,She didn't offer to give a fook after I told her I cannnot use chopsticks.,N,Zhi Lin
,fork,fok ,I can't find the fok I need for my salad ,N,Zhi Lin
,fork,fok,Lost my fok again. Eating pasta with my hands is not fun.,N,Zhi Lin
,formidable,f0rm!d@b|3,Such f0rm!d@b|3 performance today,N,Nathan
,fuck,fug, the Kermit videos bout to fug IG up,O,Khadija
,fuck,hug,shut up you huggin retard,O,Khadija
,fuck,fwk,fwk yeah lessgo,O,Khadija
,fuck,fvk,major fvking respect for Charlie,O,Khadija
,fuck,fawk,The fawk is right with this world?,O,Khadija
,fuck,fack,This is so facking hot!!,O,Khadija
,fuck,fug,My shoes are dirty as fug need to clean them up,O,Khadija
,fuck,hug,Piss off u annoyin fat hug,O,Khadija
,fuck,fawk, You either just fawked the girl of your dreams or you sold a car,O,Khadija
,fuck,fowk,I will go about my fowking day and try to finish my work on time,O,Khadija
,fuck,phoog ,Let's not phoog around with this and give it our full attention. ,O,Zhi Lin
,fuck,f*ck,Go f*ck yourself and leave everyone alone.,O,Zhaoyan
,fuck,f*ck,"F*ck off, you absolute waste of oxygen.",O,Zhaoyan
,fuck,f u ck,That guy is a complete f u ck up in every way.,O,Zhaoyan
,fuck,f*ck,"Get the f*ck out, you useless piece of g@rbage.",O,Zhaoyan
,fuck ,phoog,phoog her dude; i hate her ever since I met her for the first time,O,Zhi Lin
,fucked,f#cked,"Well, that was a f#cked up situation for sure.",O,Zhaoyan
,fucker ,phooger ,I have been seeing those phoogers everywhere recently. ,O,Zhi Lin
,fucker ,fokka,Fokka took my camera last week and hasn't returned it yet. ,O,Zhi Lin
,fucker ,fokka ,stop wasting my time fokka,O,Zhi Lin
,fuckery,f*ckery,Take your f*ckery elsewhere; no one cares.,O,Zhaoyan
,fuckery,fuckeryy,Take your idiotic fuckeryy away; we're done listening.,O,Zhaoyan
,fuckface,fvkphase ,I see that fvkphase everywhere nowadays. ,O,Zhi Lin
,fuckface,fvkphase ,I miss your fvkphase bruh ,O,Zhi Lin
,fucking,phooging,Let's phooging finish this work and go home. ,O,Zhi Lin
,fucking,phooging,I cannot phooging stand his smell.,O,Zhi Lin
,fucking,f*cking,Who let this f*cking idiot in here?,N,Zhaoyan
,fucking,f*cking,"Shut your f*cking mouth, you pathetic waste of space.",O,Zhaoyan
,fucking,f*cking,You're nothing but a f*cking p@thetic loser.,O,Zhaoyan
,fuckinghell ,hucking fell ,No hucking fell am I ever letting you out with him again. ,O,Zhi Lin
,fuckinghell ,hucking fell ,I am embarrassed by whatever the hucking fell she's pulling ,O,Zhi Lin
,fuckup,f*ckup,"You're an absolute f*ckup, through and through.",O,Zhaoyan
,fuckup,fukup,"You're a complete and total fukup, top to bottom.",O,Zhaoyan
,fugly ,phoogly ,I need to pass him a mirror to let him see how phoogly he is. ,O,Zhi Lin
,fugly ,phoogly ,Did you go on a date with that phoogly boy last night? ,O,Zhi Lin
,funny,funn¥,Nobody finds you as funn¥ as you think you are.,N,Zhaoyan
,garbage,garbge,"Get outta here, you useless piece of garbge, no one needs you.",O,Zhaoyan
,garbage,g@r|3@g3,This g@r|3@g3 work needs fixing,O,Nathan
,garbage,g@rb@g3,Producing g@rb@g3 work again,O,Nathan
,garbage,g@rb@ge,Producing g@rb@ge content again,O,Nathan
,garbage,g@rb@g3,Your g@rb@g3 work shows,O,Nathan
,garbage,g@rb@g3,Complete g@rb@g3 work,O,Nathan
,garbage,g@rb@ge,Your g@rb@ge work shows,O,Nathan
,garbage,g@rb@ge,Your g@rb@ge skills show,O,Nathan
,genius,g3n!u5,Your g3n!u5 strategy paid off,N,Nathan
,go,ho,bruh just give me a ho this time,N,Khadija
,go,h0,we plaid the game of h0,N,Khadija
,go,h0,I think I need another h0 at this game.,N,Khadija
,go,h0,They just needed a quick h0 before getting started.,N,Khadija
,go,h0,Just give me a h0 when it’s time to get things moving.,N,Khadija
,God,G*d,All I know is the LGBT are human but I hope to G*d he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,O,Zhaoyan
,good,gud,How could you possibly think that's even a gud idea? It’s absolutly pathetic.,N,Zhaoyan
,gore,hore,They were discussing about how much hore there was in the movie. ,N,Zhi Lin
,gore,hore,That terrible movie was all about hore and no story,N,Zhi Lin
,gossip,g*ssip,"She’s such a g*ssip, always running her mouth about other people.",O,Zhaoyan
,gossip,g0ssip,Your g0ssip is as useless as you are kind-hearted.,N,Zhaoyan
,great,gr8,She wrote a gr8 article that received positive feedback from her readers.,N,Zhaoyan
,great,greaat,You actually thought that ridiculous idea was greaat? That’s just sad.,N,Zhaoyan
,happily,hap1ly,The kids played hap1ly in the yard with their new toys and laughed all afternoon.,N,Zhaoyan
,hate,|-|@73,I |-|@73 everything about you,O,Nathan
,hate,h8te,I h8te your face,O,Nathan
,hate,h@73,I h@73 your attitude,O,Nathan
,hate,h8t3,I h8t3 this situation,O,Nathan
,hate,h8,I h8 your stupid attitude,O,Nathan
,hate,h@t3,I h@t3 your behavior,O,Nathan
,hate,h8te,I h8te your methods,O,Nathan
,hawk,qawk ,I spotted a qawk outside. ,N,Zhi Lin
,hawk,qawk ,That qawk soaring above is such a beautiful sight!,N,Zhi Lin
,healthy,healthee,Daily exercise can help keep you feeling healthee and energetic for all kinds of activities.,N,Zhaoyan
,healthy,unhe@lthy,An unhe@lthy diet can make a huge difference in your well-being.,N,Zhaoyan
,heap,heeb,There was a heeb of leaves at the backyard after the storm. ,N,Zhi Lin
,hebe,heeb,He tried to heeb me out of my money bruh ,O,Zhi Lin
,Hebe,Hebe,I just found out that the taiwanese singer that performed last night was Hebe! ,N,Zhi Lin
,Hebe,Hebe,I love that taiwanese singer Hebe!!,N,Zhi Lin
,helping,hellping,Hellping others in the community brings a sense of joy and purpose to her life. ,N,Zhaoyan
,her,hor,Just saw hor at the club just now. ,N,Zhi Lin
,her,hor,I can’t deal with hor drama anymore,N,Zhi Lin
,her,hor,we just need hor presence to light up the room. ,N,Zhi Lin
,hero,h3r0,Being a h3r0 for the team today,N,Nathan
,hiking,hikeing,He enjoys hikeing through the woods where he feels at peace and connected to nature.,N,Zhaoyan
,hoe,h0e,you a ratchet h0e,O,Khadija
,hoe,h00e,But he probably has h00es on him a lot,O,Khadija
,hoe,h0e,My cousin said he share h0es with his brothers.,O,Khadija
,hoe,O,This O has been calling me to come over everyday.  ,O,Zhi Lin
,hoe,O,That O is so talented at what she does. ,O,Zhi Lin
,hoe,0,He went over to that 0's place last night. ,O,Zhi Lin
,hoe,0,I know I can always trust you 0. ,O,Zhi Lin
,hoe,h0e,"That ain't bro moves, that's h0e moves",O,Zhaoyan
,hoes,holes,"My holes will all arrive soon, don't worry. ",O,Zhi Lin
,hoes,holes,"Man, those holes bring life to the party. ",O,Zhi Lin
,hoes,hose ,Would you bring those hose to the party ? ,O,Zhi Lin
,hoes,hose ,I miss my hose so much; they make my night less lonely.,O,Zhi Lin
,hoes,hoez,lames crying over hoes thats tears of a clown,O,Zhaoyan
,hoes,hoezz,like Snoop said in 94 we dont love these hoezz,O,Zhaoyan
,hoes,h0ez,lames crying over hoes thats tears of a clown,O,Zhaoyan
,holes,holees,Noticed so many holees in my backyard,N,Zhi Lin
,holes,holez,The holez on the wall make the design complete,N,Zhi Lin
,homosexual,homoseux@l,Why does Bulgaria exist as a country? It's one of those homoseux@l ones.,O,Zhaoyan
,hooker,h00kr,I met a h00kr yesterday and we talked about life for a bit,O,Khadija
,hooker,h00kr,Some h00krs have a great and lovely personalities,O,Khadija
,horrible,h0rr!b|3,Such h0rr!b|3 decision making,O,Nathan
,horrible,h0rr!bl3,Your h0rr!bl3 attitude ruins everything,O,Nathan
,horrible,h0rr1ble,Such h0rr1ble attitude today,O,Nathan
,horrible,h0rr!b|3,Your h0rr!b|3 attitude stinks,O,Nathan
,horrible,h0rr!bl3,Such h0rr!bl3 work,O,Nathan
,horrible,h0rr!ble,Such h0rr!ble behavior shown,O,Nathan
,horrible,h0rr!bl3,Such h0rr!bl3 attitude,O,Nathan
,horrible,horr!b,Such horr!b attitude,O,Nathan
,horse,hore,I watch the hore run freely on the field.,N,Zhi Lin
,horse,hore,That hore is such a pain when it doesn't follow the horse trainer's instructions.,N,Zhi Lin
,hose,hose ,That hose came in time to wash my car today. ,N,Zhi Lin
,hose,hose ,The hose made watering the garden a breeze,N,Zhi Lin
,hug,fug,"I love fugging my dog, she is my best friend",N,Khadija
,hug,fug,"I love fugging my cat, although she refuses oftentimes",N,Khadija
,hug,fug,Sometimes you just gotta fug a tree you know,N,Khadija
,hug,fug,some kids are just so cute and fuggable,N,Khadija
,hug,fug,the fug with a bear that almost killed him,N,Khadija
,hug,fug,I was fugging her although she was trying to get away from me ,N,Khadija
,hug,fug,Sometimes a warm fug is all you need ,N,Khadija
,hug,fug,"I am not much of a fugger, but maybe with kids just because they are so cute",N,Khadija
,hugger,fugger,"She has always been a big fugger, greeting everyone with open arms.",N,Zhi Lin
,hugger,fugger,That fugger hugs everyone and knows no personal space.,N,Zhi Lin
,idiot,!d!0â€ ,Can't believe what an !d!0â€  you are,O,Nathan
,idiot,!d!07,Acting like an !d!07 as always,O,Nathan
,idiot,1d10t,Being an 1d10t as usual,O,Nathan
,idiot,!d!0t,Acting like an !d!0t again,O,Nathan
,idiot,!d!0t,Being an !d!0t today,O,Nathan
,idiot,1d10t,Such an 1d10t move,O,Nathan
,idiot,!d!0t,Such an !d!0t move today,O,Nathan
,idiot,!di0t,What an !di0t thing to do,O,Nathan
,idiot,!d!ot,What an !d!ot approach,O,Nathan
,idiots,1diots,They were acting like fools and making 1diots of themselves.,O,Zhaoyan
,important,importent,It's actually sad how you think you’re remotely importent.,N,Zhaoyan
,inadequate,!n@d3qu@73,Your !n@d3qu@73 skills disappoint,O,Nathan
,incompetent,!nc0mp373n7,Such !nc0mp373n7 work today,O,Nathan
,incompetent,1nc0mp3t3nt,Your 1nc0mp3t3nt work shows,O,Nathan
,incompetent,1ncomp3tent,Your 1ncomp3tent work shows,O,Nathan
,incompetent,!nc0mp373n7,Your !nc0mp373n7 skills,O,Nathan
,incompetent,!nc0mp3t3nt,Your !nc0mp3t3nt work,O,Nathan
,incompetent,!nc0mp3t3nt,Your !nc0mp3t3nt work fails,O,Nathan
,incompetent,!nc0mp,Your !nc0mp work fails,O,Nathan
,incompetent,!nc0mp373n7,Such !nc0mp373n7 project management,O,Nathan
,incredible,!ncr3d!b|3,Such !ncr3d!b|3 performance today,N,Nathan
,incredible,!ncr3d!bl3,Your !ncr3d!bl3 effort shows,N,Nathan
,incredible,!ncr3d!bl3,Your !ncr3d!bl3 contribution,N,Nathan
,indomitable,!nd0m!7@b|3,Such !nd0m!7@b|3 spirit shown,N,Nathan
,inept,!n3p7,Your !n3p7 handling of everything,O,Nathan
,inferior,!nf3r!0r,Such !nf3r!0r performance always,O,Nathan
,insanely,ins@nely,"You are the most ins@nely annoying person I know, just go away.",N,Zhaoyan
,insufficient,!n5uff!c!3n7,Being !n5uff!c!3n7 at basics,O,Nathan
,insult,!n5u|7,Your !n5u|7 attempt failed,O,Nathan
,invincible,!nv!nc!b|3,Your !nv!nc!b|3 strategy succeeds,N,Nathan
,jerk,j**k,go j**k off to lollis faggot,O,Khadija
,jerk,j3rk,He’s such a j3rk when he talks about everyone like that.,O,Zhaoyan
,jerk,j*rk,Why’s he got to act like a j*rk every time something small goes wrong?,O,Zhaoyan
,jerk,j*rk,Stop being a complete j*rk and mind your own business.,O,Zhaoyan
,jerk,jer|<,You don't have to be such a jer|< about it.,O,Zhaoyan
,Jews,five three nine,I totally would not put my money in five three nine bank. ,O,Zhi Lin
,jokes,j0kes,Everyone’s sick of hearing your tired j0kes.,N,Zhaoyan
,kike,kyke,Kyke looks like he is planning to make a lethal weapon. ,O,Zhi Lin
,killer,|<!113r,Your |<!113r presentation skills amazed everyone,N,Nathan
,killer,k!||3r,Your k!||3r skills show,N,Nathan
,killer,k!ll3r,Your k!ll3r dance moves rock,N,Nathan
,killer,k!ll@,Your k!ll@ performance amazed,N,Nathan
,killer,k!ll@,Your k!ll@ design impressed,N,Nathan
,kindness,k*ndness,Her k*ndness towards others makes her a well-liked person.,N,Zhaoyan
,knee gear,knee gear ,I think that knee gear is his. ,N,Zhi Lin
,knee gear,knee gear ,Having that knee gear on is just embarrassing. ,N,Zhi Lin
,knicker,knicker,That is my favourite pair of knicker. ,N,Zhi Lin
,knicker,knicker,Saw her knicker sticking out. Awkward!,N,Zhi Lin
,know-it-all,kn0w-it-all,"She’s a kn0w-it-all, always correcting people over small things.",O,Zhaoyan
,knowledge,noledge,"Books are a great source of noledge, and reading them can open new worlds and perspectives.",N,Zhaoyan
,Kyle,kyke,I am sharing the same class with kyke. ,N,Zhi Lin
,Kyle,kyke,Kyke slayed his outfit so hard last night,N,Zhi Lin
,lacking,l@cking,You're l@cking some real substance there.,N,Zhaoyan
,lake,l@ke,Walking by the l@ke is a calming activity they enjoy together.,N,Zhaoyan
,lame,l@me,Keep your l@me opinions to yourself; we’re all b0red.,N,Zhaoyan
,lame,l@me,Who knew someone could be so l@me?,N,Zhaoyan
,lame,l.a.m.e,"Honestly, nobody's as l.a.m.e as he is.",O,Zhaoyan
,lame,lam,"The way you handle things is beyond lam, you should be embarrassed.",N,Zhaoyan
,language,langwage,"Learning a new langwage is challenging, but it is also incredibly rewarding and useful.",N,Zhaoyan
,leeches,l*ches,"Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these l*ches.",N,Zhaoyan
,legend,|3g3nd,Your |3g3nd status is growing,N,Nathan
,lesbians,lezbi@nz,"Killing me to see gays treated like that, I think lezbi@nz are being more privileged by people.",N,Zhaoyan
,library,libery,"The libery is filled with books from all genres, providing a quiet space for everyone to read.",N,Zhaoyan
,library,li*ary,The li*ary offers a wide variety of books to explore.,N,Zhaoyan
,like,l!ke,"It's l!ke you’re trying to be offens!ve, but failing.",N,Zhaoyan
,listen,listn,It's brutally painful to listn to you rant about nothing.,N,Zhaoyan
,look,lok,You have no ideaa how foolish and out of place you lok right now.,N,Zhaoyan
,loser,l0ser,You’re acting like a l0ser if you don’t stand up for yourself.,O,Zhaoyan
,loser,l0ser,Everyone knows you're a total l0ser.,N,Zhaoyan
,loser,l0ser,"Stop acting like a l0ser, it’s pathetic.",O,Zhaoyan
,loser,loserr,"Acting like a loserr doesn't suit you, it's pathetic.",O,Zhaoyan
,loser,|053r,Just another |053r trying to compete,O,Nathan
,loser,l0s3r,Being a l0s3r at everything,O,Nathan
,loser,l0s3r,Acting like a l0s3r today,O,Nathan
,loser,|0s3r,Such a |0s3r move,O,Nathan
,loser,l0s3r,Such a l0s3r move,O,Nathan
,loser,l0s3r,Such a l0s3r attitude,O,Nathan
,loser,l0ser,Such a l0ser mentality,O,Nathan
,losers,l0sers,apparently east Asians commit less crime than us......well this is because they are submissive conformist l0sers.,O,Zhaoyan
,love,|_0\/3,I |_0\/3 destroying my competition,N,Nathan
,lowlife,|0w|!f3,Just another |0w|!f3 excuse,O,Nathan
,luck,puck ,We should make our own opportunities and stop relying on puck.,N,Zhi Lin
,luck,puck ,I’m really tired of having no puck with anything lately.,N,Zhi Lin
,maggot,f@ggot,"this whole room is filled with f@ggots, who let the flies in?",N,Khadija
,maggot,f@ggot,how were these f@ggots born??,N,Khadija
,maggot,f@ggot,There’s a swarm of f@ggots on the food.,N,Khadija
,maggot,f@ggots,A group of f@ggots covered the floor by morning.,N,Khadija
,magnificent,m@gn!f!c3n7,What m@gn!f!c3n7 results today,N,Nathan
,magnificent,m@gn!f!c3nt,Such m@gn!f!c3nt effort today,N,Nathan
,magnificent,m@gn!f!c3nt,Such m@gn!f!c3nt effort,N,Nathan
,maniac,m@niac,"Hope you choke, you despicable m@niac.",O,Zhaoyan
,master,m@573r,Becoming a m@573r of this craft,N,Nathan
,masterful,m@573rfu|,Being m@573rfu| at solutions,N,Nathan
,masterful,m@573rfu|,Being m@573rfu| with solutions,N,Nathan
,mediocre,mediocr,"The world doesn’t revolve around your mediocr ideas, get over yourself.",N,Zhaoyan
,mediocre,m3d!0cr3,Such m3d!0cr3 performance always,O,Nathan
,mighty,m!gh7y,Such m!gh7y performance today,N,Nathan
,mild,milf,I prefer a milf aroma when choosing my coffee,N,Zhi Lin
,mild,milf,That milf salsa had zero flavour and tasted terrible!,N,Zhi Lin
,mindless,m!nd|355,Your m!nd|355 decisions ruin everything,O,Nathan
,miserable,m!53r@b|3,Being m!53r@b|3 at your job,O,Nathan
,moron,m0r0n,Stop being such a m0r0n,O,Nathan
,moron,m0r0n,Stop acting like a m0r0n,O,Nathan
,moron,mor0n,Stop being such a mor0n,O,Nathan
,moron,m0r0n,Being a m0r0n today,O,Nathan
,moron,m0r0n,Acting like a m0r0n,O,Nathan
,moron,m0r0n,Acting like a m0r0n today,O,Nathan
,moron,m0r0n,Acting like a m0r0n again,O,Nathan
,moron,m0r,Acting like a m0r again,O,Nathan
,mother father,mother father,She went back home to visit her mother father. ,N,Zhi Lin
,motherfucker,m0fo,"You smart m0fo know your way around world, I respect that",O,Khadija
,motherfucker ,mother father,That mother father sat next to me in class today. ,O,Zhi Lin
,motherfucker ,mother father,I actually felt so happy after finally seeing that mother father after a long time. ,O,Zhi Lin
,motherfucker ,momphooger,That momphooger didn't come to class today. ,O,Zhi Lin
,motherfucker ,momphooger,I hope that momphooger can just die,O,Zhi Lin
,motherfucker ,maparker,That maparker came late to work today. ,O,Zhi Lin
,motherfucker ,maparker,I AM SO GLAD U MADE IT MAPARKER!!!!,O,Zhi Lin
,motherfucker ,maparker,I LOVE YOUU SO MUCH YOU MAPARKER,O,Zhi Lin
,motherfucker ,maparker,Don't you think that maparker been looking kinda cute recently ,O,Zhi Lin
,motherfuckers,motherf*ckers,This is for my ghetto motherf*ckers -Missy Elliott,O,Zhaoyan
,movie,m*vie,They watched a m*vie together and had a good time.,N,Zhaoyan
,murder,murrderr,Why don’t you go beck your god to murrderr you? Christianity is a joke,O,Zhaoyan
,murder,murd3r,Going to murd3r this presentation,N,Nathan
,murder,murd@,Going to murd@ this competition,N,Nathan
,murder,murd@,Going to murd@ this presentation,N,Nathan
,nag,n@g,She can be such a n@g when things don’t go her way.,O,Zhaoyan
,negligent,n3g|!g3n7,Being n3g|!g3n7 with work,O,Nathan
,neighbor,neighb0r,Even my neighb0r's cat has m0re intelligence than you.,N,Zhaoyan
,nice,n@sty,The weather is n@sty today; it's perfect for a walk outside.,N,Zhaoyan
,nig,n!g,So he's a good football player...but he still acts like a n!g,O,Zhaoyan
,nigga,kneegah,I have been telling this kneegah months ago that I am going to move out. ,O,Zhi Lin
,nigga,kneegah,Kneegah got me crying out of happiness when he came home ytd. ,O,Zhi Lin
,nigga,Nick Gurr,I have met that Nick Gurr somewhere before. ,O,Zhi Lin
,nigga,Nick Gurr,Nick Gurr joined the hiphop club as expected. ,O,Zhi Lin
,nigga,knee gear ,Whatever you say knee gear. ,O,Zhi Lin
,nigga,knee gear ,I miss my knee gear so much man. ,O,Zhi Lin
,nigga,knicker,I met with that knicker last night. ,O,Zhi Lin
,nigga,knicker,can't stand sharing the same air as that knicker ,O,Zhi Lin
,nigga,nick her,Happy Bday  nick her,O,Khadija
,nigga,nlga,"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nlga had funnnnnnn",O,Khadija
,nigga,n1ga,He is the best n1ga for that lmao,O,Khadija
,nigga,n!ga,dont know no broke n!gas,O,Khadija
,nigga,n1ga,have a wonderful day my n1ga,O,Khadija
,nigga,nick her,"shut the hell up, you trash nick her",O,Khadija
,nonsense,nonsnse,Everything you've sed today is a total load of pointless nonsnse.,N,Zhaoyan
,Oh,O,O...didn't know that meeting was rescheduled ,N,Zhi Lin
,Oh,O,"O great, another Monday. Just what I needed.",N,Zhi Lin
,okay,KKK,KKK.. I get it now! ,N,Zhi Lin
,okay,KKK,KKK can you calm down and stop shouting for god's sake,N,Zhi Lin
,opinions,opinons,It’s a terrible day when you start offering your clueless opinons.,N,Zhaoyan
,organized,org@nised,"They org@nised a lovely event for the neighborhood, with games and music for everyone.",N,Zhaoyan
,organized,disorganized,She disorganized her workspace to be more efficient and clean.,N,Zhaoyan
,outstanding,0u757@nd!ng,Your 0u757@nd!ng work shows,N,Nathan
,outstanding,0u7st@nd!ng,Your 0u7st@nd!ng work shines,N,Nathan
,outstanding,0utst@nd!ng,Your 0utst@nd!ng work helps,N,Nathan
,pain,p@in,"Honestly, he's a p@in in the ass when he’s in one of his moods.",O,Zhaoyan
,pathetic,ex|cuse,He's nothing but a pathetic ex|cuse for a friend.,O,Zhaoyan
,pathetic,p@7h371c,Such p@7h371c behavior from you,O,Nathan
,pathetic,p@7h37!c,Your p@7h37!c excuses don't work,O,Nathan
,pathetic,p@th3t1c,Such p@th3t1c excuses today,O,Nathan
,pathetic,p@7h3t!c,Your p@7h3t!c skills show,O,Nathan
,pathetic,p@th3t!c,Such p@th3t!c excuses,O,Nathan
,pathetic,p@th3t1c,Your p@th3t1c attempt,O,Nathan
,pathetic,p@th3t!c,Being p@th3t!c as usual,O,Nathan
,pathetic,p@thet!c,Being p@thet!c again,O,Nathan
,pathetic,p@th,Being p@th at work,O,Nathan
,penishead,Phineas head ,"Yes, he has been acting like a Phineas head lately. ",O,Zhi Lin
,penishead,Phineas head ,That phineas head is a whole vibe; I LOVE HIM. ,O,Zhi Lin
,perfect,p3rf3c7,Your p3rf3c7 timing saved the project,N,Nathan
,phenomenal,ph3n0m3n@|,Being ph3n0m3n@| at your job,N,Nathan
,phenomenal,ph3n0m3n@l,Such ph3n0m3n@l results today,N,Nathan
,phenomenal,ph3n0m3n@l,Such ph3n0m3n@l results,N,Nathan
,pich,b1tch,We couldn’t get the annoying b1tch to work as planned.,N,Khadija
,piss,p1$$,I almost p1$$ed myself laughin lol,O,Khadija
,piss,p1$$,Woke up in the middle of the night just to p1$$,O,Khadija
,piss,p!ss,"Why don't you just p!ss off, you annoying pr!ck.",O,Zhaoyan
,pissing,p*ssing,That dude is always p*ssing people off with his attitude.,O,Zhaoyan
,pitch,b1tch,Our project b1tch wasn't as successful as we expected,N,Khadija
,pitch,b!7ch,he brought the machine to a high b!7ch,N,Khadija
,pitch,pitch,It was hard to perform well with that pitch. ,N,Zhi Lin
,pitch,pitch,That pitch was so creative; I loved the idea!,N,Zhi Lin
,pitch,b1tch,His b1tch was so sharp it surprised everyone.,N,Khadija
,pitiful,p!7!fu|,Your p!7!fu| attempts fail,O,Nathan
,playing,play@ing,They enjoyed play@ing board games with their friends on the weekend.,N,Zhaoyan
,please,plz,Are you mentally handicapped or this is your normal form? Both ways kill yourself plz.,O,Zhaoyan
,points,p0ints,Your p0ints are so random and irrelevant.,N,Zhaoyan
,powerful,p0w3rfu|,Your p0w3rfu| presentation moved us,N,Nathan
,powerful,p0w3rfu|,Your p0w3rfu| presentation amazes,N,Nathan
,pretend,pr3tend,"You pr3tend to be intelligent, but you're not fooling anyone.",N,Zhaoyan
,pretending,pretnding,"Honestly, you shud stop pretnding you know anythng at all.",N,Zhaoyan
,pretending,pretnding,"Everyone here knows you’re just pretnding, and it’s pathetic.",N,Zhaoyan
,prick,pr1ck,I don't give a damn about what he thinks; he's just being a pr1ck.,O,Zhaoyan
,prick,pr!ck,"You m!serable pr!ck, nobody can stand you.",O,Zhaoyan
,prick,p rik,"You're being such a p rik about this, chill out.",O,Zhaoyan
,probably,pr0bably,"You pr0bably think you're clever, but honestly, you’re just s!lly.",N,Zhaoyan
,proficient,pr0f!c!3n7,Such pr0f!c!3n7 handling shown,N,Nathan
,project,proj*ct,"The proj*ct deadline is next Monday, so let's prepare accordingly.",N,Zhaoyan
