Misspelled Word,Context,Label (O & N),Output Labels
compltely,How can someone be so utterly compltely oblivous and useless?,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
confidnce,There’s a hugee gap between your fake confidnce and actual knowldge.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
c0nqu3r,Will c0nqu3r these obstacles,N,"['S', 'B-N', 'S', 'S']"
c0n73mp7!b|3,Your c0n73mp7!b|3 behavior disgusts me,O,"['S', 'B-O', 'S', 'S', 'S']"
cok,"You must be so lucky to have such a nice cok, how much do you pay him?",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cok,Your cok is capable of some great stuff wow,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cok,My friend’s cok taught me a few tricks to improve my skills,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cok,I cok like every other day you know,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
c0k,Her new cok isn’t just bad; it’s pathetic.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
c0k,Get yourself a decent c0k; the one you have is garbage.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
c*oking,He enjoys c*oking new recipes in his spare time.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
c0ol,Why pretend you’re c0ol when we all know you’re not?,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cork,The cork fits just nice,N,"['S', 'B-N', 'S', 'S', 'S']"
cork,"I tried to open that wine, but the cork was such a pain",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
cvnt,The cvnt was off by a small margin,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cvnt,do you know the cvnt personally per chance?,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
cvnt,He’s the only one who can cvnt the inventory,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
cvnt,She didn’t expect the cvnt to be so high by the end.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
countrees,"They spent two weeks visiting different countrees in Europe, enjoying the food and culture.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cr@p,I don't put up with that cr@p,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
kr@p,Can u stop with the racist hate kr@p.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
crepe,"aw crepe, it broke",O,"['S', 'B-O', 'S', 'S']"
krep,That is the most stupid krep i ever heard,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
krep,Ahh this krep made me really happy,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
cr@p,"He talks cr@p about everyone, then wonders why no one likes him.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cr@p,"Shut up, you n0t-wanted piece of cr@p.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
cr-ap,Nobody needs to put up with that cr-ap.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
cr@pface,Nobody needs a cr@pface like you around here.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
crapfacee,"Nobody needs a crapface like you around, disappear.",O,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
cru5h,Will cru5h this competition,N,"['S', 'B-N', 'S', 'S']"
cru$h,Time to cru$h this presentation,N,"['S', 'S', 'B-N', 'S', 'S']"
cru$h,Time to cru$h this project,N,"['S', 'S', 'B-N', 'S', 'S']"
kvnt,İ cannot wait to see her kvnt,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
cwnt,Did he say the tastiest cuts or cwnts??,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
cwn7,Guess we were only half wrong about you being a dumb cwn7,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
künt,I woul never call you a künt,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
künt,"we've used the word künt almost 3 times, its beautiful.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
cant,I used to be so close with that cant back in middle school.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
cant,Good job cant!!!,O,"['S', 'S', 'B-O']"
cant,GET AWAY CANT FACE,O,"['S', 'S', 'B-O', 'S']"
kant,I saw you talking to that kant after school.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
kant,I am so happy to have your kant in my life.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
kant,shut up kant no one likes u,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
d@mn,"No one gives a d@mn about you, worthless pr*ck.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
damm,"No one gives a damn about you, worthless prick.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
fark,The room was so fark that he tripped,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
fark,I am so frustrated by how fark the room is dude,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
farker,Just when I thought his jokes couldnt get any farker.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
farker,It is creepy once it gets farker,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d3@d|y,Your d3@d|y accuracy impressed,N,"['S', 'B-N', 'S', 'S']"
d3@dly,Your d3@dly accuracy in design,N,"['S', 'B-N', 'S', 'S', 'S']"
d3@dly,Your d3@dly precision helps,N,"['S', 'B-N', 'S', 'S']"
d3@dly,Your d3@dly accuracy amazes,N,"['S', 'B-N', 'S', 'S']"
d*ath,Anyone who listens to rap and is white is not part of the ethnostate and will be put to d*ath.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d1ck,I bought a new d1ck of cards,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
d!ck,she stood on d!ck for some time,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
d!!k,The kids played with a new d!!k of cards.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
d1ck,They spent the evening sitting on the d1ck.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d1ck,He stumbled over the d1ck like a clueless fool.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
d!!k,Nothing on this d!!k is worth keeping.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
d1ck,His d1ck was a favorite among the players.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
dekorated,"They dekorated the room beautifully for the party, with balloons and streamers everywhere.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
dedicayshun,"She completed her project with great dedicayshun, working late nights to make it perfect.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
dedi*kation,Her dedi*kation to her work is admirable and inspiring to others.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
d3f!c!3n7,Such d3f!c!3n7 understanding,O,"['S', 'B-O', 'S']"
delishous,"She always enjoys preparing delishous meals for her family, especially during the holidays.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
disg*sting,The restaurant serves a disg*sting range of meals at affordable prices.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
d3lusional,Why are you so damn d3lusional?,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
Dem,Dem and I hung out quite often before she moved.,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Dem,Dem is so annoying...she's late again,N,"['B-N', 'S', 'S', 'S', 'S', 'S']"
d3m0|!5h,About to d3m0|!5h this task,N,"['S', 'S', 'B-N', 'S', 'S']"
d3m0l!sh,Will d3m0l!sh these challenges,N,"['S', 'B-N', 'S', 'S']"
d3m0l!sh,Will d3m0l!sh this deadline,N,"['S', 'B-N', 'S', 'S']"
d3m0l!sh,Will d3m0l!sh these barriers,N,"['S', 'B-N', 'S', 'S']"
d3p|0r@b|3,Such d3p|0r@b|3 work ethics,O,"['S', 'B-O', 'S', 'S']"
d3sp!c@b|3,Your d3sp!c@b|3 nature shows through,O,"['S', 'B-O', 'S', 'S', 'S']"
d3$7r0y,About to d3$7r0y this exam,N,"['S', 'S', 'B-N', 'S', 'S']"
d357r0y,Will d357r0y this challenge,N,"['S', 'B-N', 'S', 'S']"
d3str0y,Ready to d3str0y this interview,N,"['S', 'S', 'B-N', 'S', 'S']"
d3str0y,Will d3str0y these goals,N,"['S', 'B-N', 'S', 'S']"
d3str0y,Will d3str0y these obstacles,N,"['S', 'B-N', 'S', 'S']"
d37357@b|3,Being d37357@b|3 to everyone,O,"['S', 'B-O', 'S', 'S']"
d1k,lol girl get some new d1k,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
d!k,lol he sent the d!k pic through ig,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
duck,you got that dope dick,O,"['S', 'S', 'S', 'S', 'B-O']"
d**k,But some d**k and instructions,O,"['S', 'S', 'B-O', 'S', 'S']"
duck,"yes i like duck, and?",O,"['S', 'S', 'S', 'B-O', 'S']"
d.i.c.k,"Honestly, he's just being a total d.i.c.k right now.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
dixphace,What is the dixphace doing in our class?,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
dixphase,THAT'S legendary dixphase,O,"['S', 'S', 'B-O']"
dekhead,Your such a fucking deckhead,O,"['S', 'S', 'S', 'S', 'B-O']"
duckhead,Well being a duckhead isnt a solution it seems,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
d!ckhead,"You absolute d!ckhead, nobody respects you.",O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
d.i.ickhead,She has the personality of a total d.i.ickhead.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
d*ckhead,"Honestly, even a d*ckhead has more integrity than you.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
dicckhead,"Honestly, even a dickhead has more integrity than you.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
d*ckwad,"Just f*ck off, you insignificant d*ckwad.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
dickw@d,"Just leave, you sad excuse of a dickw@d.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
diks,He brought a variety of diks for everyone to taste.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
diks,Not a single person ate that bland diks,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d!rtbag,You're nothing but a d!rtbag that nobody likes.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
d!rty,"Your d!rty ass has no place here, get lost.",O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
dirtty,Take your dirtty self somewhere else; you're not wanted.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
d!sappear,"No one will miss you, just d!sappear.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d!5gr@c3,You're a d!5gr@c3 to the team,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
d1sgr@c3,Being a d1sgr@c3 to the team,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
d1sgrace,Being a d1sgrace to everyone,O,"['S', 'S', 'B-O', 'S', 'S']"
d!5gr@c3,Such a d!5gr@c3 to everyone,O,"['S', 'S', 'B-O', 'S', 'S']"
d!sgr@c3,Being a d!sgr@c3,O,"['S', 'S', 'B-O']"
d1sgr@c3,Total d1sgr@c3 to all,O,"['S', 'B-O', 'S', 'S']"
d!sgr@c3,Being a d!sgr@c3 to everyone,O,"['S', 'S', 'B-O', 'S', 'S']"
d!sgr@ce,Being a d!sgr@ce to all,O,"['S', 'S', 'B-O', 'S', 'S']"
d!sg,Being a d!sg to all,O,"['S', 'S', 'B-O', 'S', 'S']"
disgust1ng,You look like Russian and speak like Indian. Both are disgust1ng go kill yourself,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
d1tch,their car went out of control and plunged into a d1tch,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
d1ch,we d1ched around our tents,N,"['S', 'B-N', 'S', 'S', 'S']"
d1tch,Toss him in the d1tch and let him rot.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
d0,All you d0 is brag about pointless things.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
d0m!n@n7,Your d0m!n@n7 skills shine,N,"['S', 'B-N', 'S', 'S']"
d0m!n@73,Ready to d0m!n@73 this challenge,N,"['S', 'S', 'B-N', 'S', 'S']"
d0uchebag,You're just another loudmouthed d0uchebag.,O,"['S', 'S', 'S', 'S', 'B-O']"
duchebag,You're just another loudmouthed duchebag here.,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
dr@ma,Nobody cares about your pathetic dr@ma.,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
fuk,the whole pond was filled with fuks,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
fuk,the fuk scared me when it crept behind me,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
d1ck,KAIST is known for its d1cks,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
fuck,That annoyin stupid fuk was following me everywhere,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fuk,Can’t stand the damn fuks in this place.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
fuk,Another loud fuk just ruined the pond’s peace.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
d1ckl1ng,The d1ckl1ng followed its mother everywhere,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
d1ckl!ng,that little annoying gawking d1ckl!ng,N,"['S', 'S', 'S', 'S', 'B-N']"
d1ckl1ng,ohh a little d1ckl1ng got separated from its family,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
fug,They were surprised at what they just fug up in the backyard.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fug,Made a whole mess when I fug this old thing up.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
du mb,"It's just a du mb move on his part, really.",O,"['S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S']"
dum|3,Making dum|3 mistakes again,O,"['S', 'B-O', 'S', 'S']"
dum|3,Making dum|3 choices,O,"['S', 'B-O', 'S']"
dum|3,Making dum|3 mistakes,O,"['S', 'B-O', 'S']"
dum|3,Making dum|3 decisions again,O,"['S', 'B-O', 'S', 'S']"
dum|3,Making dum|3 choices again,O,"['S', 'B-O', 'S', 'S']"
d*mb@ss,"You are such a d*mb@ss, it's painful to watch.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
dumb@ss,People are tired of your dumb@ss antics.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
dumass,People are fed up with your dumbass nonsense.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
dum@sses,"They were just messing around, being dum@sses as usual.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
dumbf*ck,"You dumbf*ck, even a rock is smarter than you.",O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
dum bfuck,He's a dum bfuck if he thinks that plan will work.,O,"['S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
embarasing,"If I were you, I'd stop talking entirely; you're embarasing yourself.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
3p!c,Your 3p!c moves were incredible,N,"['S', 'B-N', 'S', 'S', 'S']"
every0ne,"Honestly, everyone kn0ws you’re trying too hard.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
evryone,You're just making it hard for evryone to tolerate your presence.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
3v!|,Such 3v!| skills at gaming,N,"['S', 'B-N', 'S', 'S', 'S']"
3v!l,Your 3v!l gaming strategy works,N,"['S', 'B-N', 'S', 'S', 'S']"
3v!l,Your 3v!l strategy worked well,N,"['S', 'B-N', 'S', 'S', 'S']"
3x3||3n7,Your 3x3||3n7 work impressed everyone,N,"['S', 'B-N', 'S', 'S', 'S']"
3xc3||3n7,Your 3xc3||3n7 skills impressed us,N,"['S', 'B-N', 'S', 'S', 'S']"
3xc3ll3nt,Your 3xc3ll3nt work impressed,N,"['S', 'B-N', 'S', 'S']"
3xc3ll3nt,Your 3xc3ll3nt skills shine,N,"['S', 'B-N', 'S', 'S']"
3xp3r7,Being 3xp3r7 at problem-solving,N,"['S', 'B-N', 'S', 'S']"
f**ck,They loaded the f**ck as much as they could.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
f@c,Where is the f@c in that?,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
f@c,get out of here with yo f@cs,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
f@c,Stop throwing random f@cs at me; no one cares.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
f@g," I got the giggles because I'm a f@g, I ain't gon' lie lol",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
f@g,Rian gag rhymes with f@g,O,"['S', 'S', 'S', 'S', 'B-O']"
f@g0t,love all these f@g0t ass bright colors and Nike keeps giving them what they want smh,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f*g0t,I am a working f*g0t,O,"['S', 'S', 'S', 'S', 'B-O']"
f@g0t,You talk like a f@g0t and your shit's retarded,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
fair got,That fair got got the job instead.,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
fair got,I admire that fair got's confidence so much.,O,"['S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S']"
pearggot,WOW PEARGGOT GOT MOVES,O,"['S', 'B-O', 'S', 'S']"
pearggot,Those pearggots need help for real,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
f@ggots,why haven't you f@ggots taken the bi-pill yet,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
f*ilure,Your entire existence is just a huge f*ilure.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
f@!|ur3,You're such a f@!|ur3 at everything,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
f@1lur3,Another f@1lur3 attempt from you,O,"['S', 'B-O', 'S', 'S', 'S']"
f@1lure,Another f@1lure from you,O,"['S', 'B-O', 'S', 'S']"
f@!|ur3,Another f@!|ur3 attempt,O,"['S', 'B-O', 'S']"
f@!lur3,Your f@!lur3 shows,O,"['S', 'B-O', 'S']"
f@!lure,Complete f@!lure at everything,O,"['S', 'B-O', 'S', 'S']"
f@!l,Complete f@!l at work,O,"['S', 'B-O', 'S', 'S']"
f*ke,"Honestly, you're nothing but a f*ke friend.",N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S']"
f@ke,"You're such a f@ke, nobody believes a word you say.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
f@ke,Take your sh!tty f@ke self out of here; no one l!kes it.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f.a.k.e,"I can't stand his f.a.k.e, over-the-top style.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
fake @ss,Take your fake @ss persona and shove it.,O,"['S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
fakke,"Take your fakke self and shove it, we're done.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
fak,I wonder if he made a fak excuse for not coming.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fak,That fak smile was so obvious it made me cringe.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fak,I am amazed by how real the fak plant looks.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
f@ll,"Go f@ll off a cliff, nobody wants you here.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f@n7@571c,Your f@n7@571c effort paid off,N,"['S', 'B-N', 'S', 'S', 'S']"
f@nt@st!c,Being f@nt@st!c at your role,N,"['S', 'B-N', 'S', 'S', 'S']"
f@nt@st!c,Being f@nt@st!c at this,N,"['S', 'B-N', 'S', 'S']"
f@t,"Get lost, you f@t m0uth-breathing moron.",O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
f3@r|355,Being f3@r|355 in challenges,N,"['S', 'B-N', 'S', 'S']"
f!3rc3,Being f!3rc3 at coding,N,"['S', 'B-N', 'S', 'S']"
f!3rc3,Such f!3rc3 dedication to quality,N,"['S', 'B-N', 'S', 'S', 'S']"
f!3rc3,Such f!3rc3 commitment shows,N,"['S', 'B-N', 'S', 'S']"
f!3rc3,Such f!3rc3 determination helps,N,"['S', 'B-N', 'S', 'S']"
f!3rc3,Being f!3rc3 in negotiations,N,"['S', 'B-N', 'S', 'S']"
fug,Fugs are my favorite fruits,N,"['B-N', 'S', 'S', 'S', 'S']"
fug,Fugs were famous in ancient Rome,N,"['B-N', 'S', 'S', 'S', 'S', 'S']"
fug,I dont have any fugs,N,"['S', 'S', 'S', 'S', 'B-N']"
f!gh7,Ready to f!gh7 for success,N,"['S', 'S', 'B-N', 'S', 'S']"
f!t3,Ready to f!t3 for success,N,"['S', 'S', 'B-N', 'S', 'S']"
f!t3,Ready to f!t3 for excellence,N,"['S', 'S', 'B-N', 'S', 'S']"
fux,I should fux this before it becomes a major problem later.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fux,I can't believe I need to fux this again; it’s so frustrating!,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
fux,I am so excited to fux up this old bike and ride it again,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
flours,"The garden is full of colorful flours, adding beauty and fragrance to the entire yard.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f****,the movie is a piece of typical Hollywood f****,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
f****,I f****ed up the pillows,N,"['S', 'B-N', 'S', 'S', 'S']"
f****,"His whole career is pure f****, fake from start to finish.",N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
f****,This entire presentation is just plain f****,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
f****,This f**** is just empty words with no substance.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f****,They all agreed the f**** around here was endless.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
f00|_,Stop being such a f00|_,O,"['S', 'S', 'S', 'S', 'B-O']"
f00|,Acting like a f00|,O,"['S', 'S', 'S', 'B-O']"
f00l,Being a f00l again,O,"['S', 'S', 'B-O', 'S']"
f00l,Being a f00l like always,O,"['S', 'S', 'B-O', 'S', 'S']"
f00l,Being a f00l at work,O,"['S', 'S', 'B-O', 'S', 'S']"
fowk,Let me look in the drawer and see if i can find any fowks to give,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
fowk,what is this fowk here for?,N,"['S', 'S', 'S', 'B-N', 'S', 'S']"
fork,She did not give me any fork when I went over for dinner.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
fook,She didn't offer to give a fook after I told her I cannnot use chopsticks.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fok,I can't find the fok I need for my salad,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
fok,Lost my fok again. Eating pasta with my hands is not fun.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f0rm!d@b|3,Such f0rm!d@b|3 performance today,N,"['S', 'B-N', 'S', 'S']"
fug,the Kermit videos bout to fug IG up,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
hug,shut up you huggin retard,O,"['S', 'S', 'S', 'B-O', 'S']"
fwk,fwk yeah lessgo,O,"['B-O', 'S', 'S']"
fvk,major fvking respect for Charlie,O,"['S', 'B-O', 'S', 'S', 'S']"
fawk,The fawk is right with this world?,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
fack,This is so facking hot!!,O,"['S', 'S', 'S', 'B-O', 'S']"
fug,My shoes are dirty as fug need to clean them up,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
hug,Piss off u annoyin fat hug,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
fawk,You either just fawked the girl of your dreams or you sold a car,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fowk,I will go about my fowking day and try to finish my work on time,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
phoog,Let's not phoog around with this and give it our full attention.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f*ck,Go f*ck yourself and leave everyone alone.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
f*ck,"F*ck off, you absolute waste of oxygen.",O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
